Exemplar;Dimension 1;Dimension 2;Dimension 3;Dimension 4;Dimension 5;Dimension 6
P3;0,1213;-2,0049;-0,5556;-0,1492;0,2473;0,3143
O1;0,1726;1,4973;-2,2666;1,3864;-0,8222;-0,2460
O2;-0,0099;1,5846;-0,8532;0,8982;-1,7078;1,9922
O3;-0,7260;-2,1062;0,4022;0,9964;0,0206;-0,2523
O4;-0,7126;-0,2446;-0,9565;-1,1702;-1,7786;0,8200
O5;-0,5080;-0,5879;-1,7790;-1,4875;-0,1869;0,4917
O6;0,6368;-0,6837;-0,2560;-0,8362;-0,0218;1,3730
Nl;0,2183;-2,0001;0,3115;-0,0454;-0,0266;0,5123
Nm;-0,6975;-1,0783;0,5422;0,6966;-2,5504;-0,4488
Nh;0,1393;-1,0457;-2,4102;0,3945;0,9511;-0,4545
