Exemplar;Dimension 1;Dimension 2;Dimension 3;Dimension 4;Dimension 5;Dimension 6
P2;1,3353;0,3275;0,0543;-0,6616;0,1806;-0,2880
O1;1,0572;0,3240;0,7356;0,0128;0,5301;0,3156
O2;1,1589;0,9646;0,5663;-0,2257;-0,3710;0,2569
O3;1,2564;0,0153;-0,4414;-1,2021;0,9971;-0,0669
O4;1,4310;-0,0661;0,6084;-0,1159;-0,4888;-0,3197
O5;0,9951;0,8524;0,5920;0,0367;-0,5004;-2,0262
O6;1,2649;0,0256;-1,4573;-0,3197;1,0346;-0,8378
Nl;1,2624;0,4207;0,3534;-0,7558;0,1718;-0,1813
Nm;1,0582;0,5241;1,4669;-0,2608;-0,1230;-0,5886
Nh;0,8404;-0,3782;0,8416;0,3203;-0,1264;1,7302
